Domain Type,Agency,Organization,routeable_url,subdomain,domain,tld
Federal Agency - Executive,Administrative Conference of the United States,ADMINISTRATIVE CONFERENCE OF THE UNITED STATES,https://www.acus.gov/,,acus,gov
Federal Agency - Executive,Advisory Council on Historic Preservation,ACHP,https://achp.gov/,,achp,gov
Federal Agency - Executive,American Battle Monuments Commission,American Battle Monuments Commission,https://abmc.gov/,,abmc,gov
Federal Agency - Executive,AMTRAK,Amtrak Office of Inspector General,https://amtrakoig.gov/,,amtrakoig,gov
Federal Agency - Executive,Appalachian Regional Commission,ARC,https://arcnet.arc.gov/,arcnet,arc,gov
Federal Agency - Executive,Appalachian Regional Commission,ARC,https://workplace.arc.gov/__extraweb__EPCmicrointerrogatorpage?success=%2F__extraweb__EPCmicrointerrogatordata%3Fsuccess%3D%252F__extraweb__realmform%253Fresource%253D%25252Fworkplace%25252Faccess%25252Fhome%2526alias%253Dworkplace%2526r0%253D144%2526r1%253D145%2526r2%253D146%26alias%3Dworkplace&alias=workplace,workplace,arc,gov
Federal Agency - Executive,Appalachian Regional Commission,ARC,https://www.arc.gov/,,arc,gov
Federal Agency - Executive,Appalachian Regional Commission,ARC,https://power.arc.gov/,power,arc,gov
Federal Agency - Executive,Appalachian Regional Commission,ARC,http://list.arc.gov/,list,arc,gov
Federal Agency - Executive,Appraisal Subcommittee,Appraisal Subcommittee,https://refermyappraisalcomplaint.asc.gov/,refermyappraisalcomplaint,asc,gov
Federal Agency - Executive,Appraisal Subcommittee,Appraisal Subcommittee,https://www.asc.gov/Home.aspx,,asc,gov
Federal Agency - Executive,Broadcasting Board of Governors,IBB/VOA/BBG,https://www.bbg.gov/,,bbg,gov
Federal Agency - Executive,Broadcasting Board of Governors,IBB/VOA/BBG,https://annualreport2014.bbg.gov/,annualreport2014,bbg,gov
Federal Agency - Executive,Broadcasting Board of Governors,IBB/VOA/BBG,https://notebook.bbg.gov/,notebook,bbg,gov
Federal Agency - Executive,Broadcasting Board of Governors,IBB/VOA/BBG,https://2016.bbg.gov/,2016,bbg,gov
Federal Agency - Executive,Broadcasting Board of Governors,IBB/VOA/BBG,https://emergency.bbg.gov/,emergency,bbg,gov
Federal Agency - Executive,Broadcasting Board of Governors,IBB/VOA/BBG,https://footprints.bbg.gov/footprints/,footprints,bbg,gov
